,age_rating,app_name,app_size,copy_right,in_app_purchases,lang,num_reviews,price,review_ratings,seller_name,version,num_lang
64,4,My Horse,302.9,Â© (2011-2016) NaturalMotion Games Ltd.,"Pack of 20 Gems,$0.99,Pack of 65 Gems,$2.99,Pack of 110 Gems,$4.99","['English', ' Chinese', ' French', ' German', ' Italian', ' Japanese', ' Portuguese', ' Spanish']",897,Family,4,"MunkyFun, Inc.",1.34.0,8
65,4,Gardenscapes,299.9,Â© 2016 Playrix,"Handful of Coins,$0.99,Purse of Coins,$4.99,Garden Kit,$1.99","['English', ' Dutch', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese', ' Turkish']",119600,Simulation,4.6,Playrix Games,2.6.0,13
66,4,Jelly Jump,249.6,Â© Ketchapp,"Remove Ads,$1.99",['English'],9800,Action,4.4,Ketchapp,1.4,1
67,4,PLANK!,93.8,"Â© (C)Copyright 2018, Kwalee Ltd","Remove Ads,$1.99,Remove Ads,$2.99",['English'],36700,Arcade,4.5,Kwalee,1.0.3,1
68,4,Wordscapes,136,"Â© Copyright 2017 Peoplefun, Inc.","240 Coins,$0.99,1,340 Coins,$4.99,720 Coins,$2.99",['English'],98900,Word,4.9,"PeopleFun, Inc.",1.0.47,1
69,4,â‹†Solitaire,222.5,Â© Brainium Studios,,['English'],247900,Casino,4.6,Brainium Studios LLC,1.5.13,1
70,12,Texas Holdem Poker: Pokerist,294.4,Infrequent/Mild Sexual Content and Nudity,"1M chips,$2.99,15M chips,$19.99,100k chips,$0.99","['English', ' Arabic', ' Czech', ' Danish', ' Dutch', ' Finnish', ' French', ' German', ' Greek', ' Hebrew', ' Hindi', ' Hungarian', ' Indonesian', ' Italian', ' Japanese', ' Kazakh', ' Korean', ' Malay', ' Norwegian', ' Norwegian BokmÃ¥l', ' Portuguese', ' Romanian', ' Russian', ' Simplified Chinese', ' Spanish', ' Swedish', ' Thai', ' Traditional Chinese', ' Turkish', ' Ukrainian', ' Vietnamese']",9800,Casino,4.7,KamaGames,18.3.0,31
71,9,Bloons TD Battles,136.5,Infrequent/Mild Cartoon or Fantasy Violence,"Club Room Unlock,$7.99,Handful of Medallions,$1.99,Bag of Medallions,$4.99",['English'],90500,Strategy,4.8,Ninja Kiwi,5,1
72,4,Best Fiends - Puzzle Adventure,354.2,Â© Seriously Digital Entertainment Ltd.,"Gold Pack,$1.99,Super Offer,$1.99,5 More moves,$0.99",['English'],22700,Adventure,4.7,Seriously,5.8.1,1
73,4,Stick Hero,28.7,Â© Ketchapp,"400 Cherries,$0.99,1000 Cherries,$1.99,Remove Ads,$1.99",['English'],7200,,4.2,Ketchapp,1.5,1
74,12,War Robots,1000,Frequent/Intense Cartoon or Fantasy Violence,"1200 pieces of gold bullions,$9.99,500 pieces of gold bullions,$4.99,2500 pieces of gold bullions,$19.99","['English', ' Dutch', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Polish', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Thai', ' Traditional Chinese', ' Turkish', ' Vietnamese']",148200,Action,4.7,Pixonic Games LTD,4.1.1,17
75,12,Kick the Buddy,181.7,Frequent/Intense Cartoon or Fantasy Violence,"Diamond Membership (1 week),$7.99,Pinch of Gold,$0.99,Pocketful of Gold,$1.99",['English'],620900,Action,4.7,Chill Fleet,1.3.3,1
76,4,Word Search Puzzles,26.8,Â© 2013,,['English'],2300,Word,4.3,Storm8 Studios,2.2.0,1
77,4,Racing in Car,102.2,Â© 2015 Caner Kara,"5000 Cash,$1.99,50000 Cash,$9.99,12500 Cash,$3.99",['English'],2600,Racing,4.1,Caner Kara,1.1,1
78,4,Twist,140.3,Â© Ketchapp,"Remove Ads,$1.99",['English'],33600,,4.2,Ketchapp,  ,1
79,4,Spider Solitaire: Card Game,108,Â© 2017 MobilityWare,,"['English', ' Japanese', ' Simplified Chinese']",32600,Casino,4.6,MobilityWare,4.1.0,3
80,4,Guess The Emoji,50.4,Â© Conversion LLC,"100 Coins!,$0.99,250 Coins & No Ads!,$1.99,750 Coins & No Ads!,$4.99",['English'],1700,Trivia,4.4,"Conversion, LLC",8.16,1
81,9,Star Warsâ„¢: Galaxy of Heroes,161.4,Infrequent/Mild Cartoon or Fantasy Violence,"Chest of Crystals,$19.99,Box of Crystals,$9.99,Bag of Crystals,$4.99","['English', ' Chinese', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Thai', ' Traditional Chinese', ' Turkish']",88000,Strategy,4.7,Electronic Arts,0.12.1,15
