age_rating,app_name,app_size,copy_right,in_app_purchases,lang,num_reviews,price,review_ratings,seller_name,version
4+,Pet Rescue Saga,119.6 MB,© King.com Limited 2013-2016. All rights reserved.,"Gold Bars x9,$0.99,Extra Moves,$0.99,Pet Rescue Full Life package,$0.99","English, Chinese, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Portuguese, Simplified Chinese, Spanish, Swedish, Turkish",2.5K Ratings,"
                    #125 in Puzzle
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.4,King,Version 1.149.12
4+,Sky Burger - Build & Match Food Free,146.8 MB,© 2016 NimbleBit LLC,"10 Zaps,$0.99,50 Zaps,$2.99,200 Zaps,$9.99","English, Japanese, Simplified Chinese",3.2K Ratings,"
                    #126 in Family
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.2,NimbleBit LLC,Version 3.0.3
12+,SongPop,68.6 MB,Infrequent/Mild Mature/Suggestive Themes,"Small Coins Pack,$0.99,Medium Coins Pack,$4.99,Big Coins Pack,$9.99","English, Czech, Dutch, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish",2.3K Ratings,"
                    #28 in Music
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.3,FreshPlanet Inc.,Version 1.26.27
12+,Kim Kardashian: Hollywood,425.5 MB,Infrequent/Mild Cartoon or Fantasy Violence,"Small Star Pack,$4.99,Medium Star Pack,$9.99,Large Star Pack,$19.99",English,52.9K Ratings,"
                    #29 in Adventure
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Glu Games Inc,Version 9.2.0
12+,Paper.io,253.5 MB,Infrequent/Mild Horror/Fear Themes,"Remove ads,$2.99,FAIR BUCKET,$2.99,BEGINNER PACK,$0.99",English,78.9K Ratings,"
                    #45 in Arcade
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,Voodoo,Version 3.7
12+,Hungry Shark World,325.2 MB,Infrequent/Mild Horror/Fear Themes,"Can full of Gems,$4.99,Can full of Gold,$4.99,Bucket full of Gems,$9.99","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",94.7K Ratings,"
                    #55 in Action
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.8,Ubisoft,Version 3.0.0
4+,Charades!™,62.5 MB,© 2018 FatChicken Studios,"Remove Ads,$0.99,500 Coins & Remove Ads,$3.99,500 Coins,$3.99",English,1.6K Ratings,"
                    #5 in Card
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.4,FatChicken Studios,Version 2.7.1
12+,Flip Diving,221.3 MB,Frequent/Intense Cartoon or Fantasy Violence,"Ticket Starter,$0.99,Ticket stack,$1.99,Super Ticket Stack,$4.99",English,8.1K Ratings,"
                    #23 in Sports
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,Miniclip.com,Version 2.9.0
4+,Dragon City Mobile,173.8 MB,© 2015 Socialpoint,"Pouch of Gems,$1.99,Sack of Gems,$4.99,Vessel of Gems,$9.99","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",137.9K Ratings,"
                    #15 in Role Playing
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.8,Social Point,Version 8.4
4+,Checkers ・,89.5 MB,© 2018 Optime Software LLC,,English,7.5K Ratings,"
                    #94 in Board
                  ,
                    ,
                  ,Free",4.2,Optime Software LLC,Version 2.66
4+,Angry Birds Go!,479.8 MB,© Rovio Entertainment Ltd,"Jenga Game,$1.99,Pile of gems,$4.99,Handful of gems,$2.99","French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",2.8K Ratings,"
                    #36 in Racing
                  ,
                    ,
                  ,Free,Offers In-App Purchases",3.8,Rovio Entertainment Oyj,Version 2.8.3
4+,Fruit Ninja Classic,108.8 MB,© 2011 Halfbrick Studios,"Starfruit Pack 1,$1.99,Starfruit Pack 2,$4.99,Starfruit Pack 3,$9.99","English, Arabic, French, German, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish",743 Ratings,"
                    #28 in Arcade
                  ,
                    ,
                  ,$1.99,Offers In-App Purchases",4.2,Halfbrick Studios,Version 2.4.1
4+,Six!,127.9 MB,© Gram Games 2016,"Remove Ads,$3.99",English,2.3K Ratings,"
                    #129 in Puzzle
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.1,Gram Games,Version 3.0.0
